Ligand,Smiles
(+)-UH232,CCCN(CCC)[C@@H]1C=Cc2c(OC)cccc2[C@@H]1C
(-)-sulpiride,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
(+)-sulpiride,CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
[<sup>3</sup>H]nemonapride,CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl
amisulpride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
domperidone,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
eticlopride,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O
<i>trans</i>-flupenthixol,OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
(-)-N-porphynorapomorphine,CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
sumanirole,CN[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1
sulpiride,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
benzquinamide,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O
promazine,CN(C)CCCN1c2ccccc2Sc2ccccc21
ropinirole,CCCN(CCC)CCc1cccc2c1CC(O)=N2
vilazodone,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1
perospirone,O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
pipotiazine,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2
UNC9975,O=C1CCc2ccc(OCCCCN3CCCN(c4cccc(Cl)c4Cl)CC3)nc2N1
UNC0006,O=C1CCc2ccc(OCCCCN3CCCN(c4cccc(Cl)c4Cl)CC3)cc2N1
UNC9994,Clc1cccc(C2CCN(CCCOc3ccc4scnc4c3)CC2)c1Cl
blonanserin,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1
cariprazine,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1
brexpiprazole,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1
SB269652,N#Cc1ccc2c(c1)CN(CC[C@H]1CC[C@H](NC(=O)c3cc4ccccc4[nH]3)CC1)CC2
ML321,CN1C(=O)c2ccccc2[S@](=O)c2ccc(C(=O)NCCc3cccs3)cc21
MLS1547,Oc1c(CN2CCN(c3ccccn3)CC2)cc(Cl)c2cccnc12
(-)-stepholidine,COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2
LP-12,O=C(CCCCCN1CCN(c2ccccc2-c2ccccc2)CC1)NC1CCCc2ccccc21
LP-44,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
LP-211,N#Cc1ccc(CNC(=O)CCCCCN2CCN(c3ccccc3-c3ccccc3)CC2)cc1
lumateperone,CN1CCN2c3c(cccc31)C1CN(CCCC(=O)c3ccc(F)cc3)CCC12
HS665,Oc1cccc(CCN(CCc2ccccc2)CC2CCC2)c1
compound 3 [PMID: 23134120],Oc1cccc(CCN(CCc2ccccc2)CC2CC2)c1
benperidol,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
R-VK4-40,CCc1cccc(N2CCN(C[C@H](O)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1Cl
EGIS-11150,Cn1ncc(NCCN2CCC(c3noc4cc(F)ccc34)CC2)c(Cl)c1=O
chlorprothixene,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
S33084,N#Cc1ccc2c(c1)[C@H]1CN(CCCCNC(=O)c3ccc(-c4ccccc4)cc3)C[C@@H]1CO2
SB 277011-A,N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2
(+)-AJ76,CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C
nemonapride,CNc1cc(OC)c(C(=O)NC2CCN(Cc3ccccc3)C2C)cc1Cl
NGB 2904,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2
PG01037,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1
BP 897,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1
PF-592379,CCCN1C[C@@H](c2ccc(N)nc2)OC[C@@H]1C
WAY-100635,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1
sonepiprazole,NS(=O)(=O)c1ccc(N2CCN(CC[C@@H]3OCCc4ccccc43)CC2)cc1
[<sup>125</sup>I]L750667,[125I]c1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1
[<sup>3</sup>H]NGD941,c1ccc(-c2ncc(CN3CCN(c4ncccn4)CC3)[nH]2)cc1
A412997,Cc1cccc(NC(=O)CN2CCC(c3ccccn3)CC2)c1
L741742,Cc1c(C2CCN(CCc3ccccc3)CC2)noc1-c1ccc(Cl)cc1
L745870,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1
U101958,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1
ABT-670,Cc1cccc(C(=O)NCN2CCC(c3cccc[n+]3[O-])CC2)c1
ML398,Clc1ccc(CN2CCO[C@H](CCc3ccccc3)C2)cc1
A-381393,Cc1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)cc1C
beta-ergocriptine,CC[C@H](C)[C@@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
5-CT,NCCc1c[nH]c2ccc(C(N)=O)cc12
8-OH-DPAT,CCCN(CCC)C1CCc2cccc(O)c2C1
BRL-15572,OC(CN1CCN(c2cccc(Cl)c2)CC1)C(c1ccccc1)c1ccccc1
GR 127935,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1
Lysergide,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
LY344864,CN(C)C1CCc2[nH]c3ccc(NC(=O)c4ccc(F)cc4)cc3c2C1
RU 24969,COc1ccc2[nH]cc(C3=CCNCC3)c2c1
SB 216641,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1OCCN(C)C
capeserod,Nc1c(Cl)cc(-c2nn(C3CCN(CCc4ccccc4)CC3)c(=O)o2)c2c1OCCO2
donitriptan,N#Cc1ccc(N2CCN(C(=O)COc3ccc4[nH]cc(CCN)c4c3)CC2)cc1
xanomeline,CCCCCCOc1nsnc1C1=CCCN(C)C1
9-OH-risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2
cyamemazine,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21
fluspirilene,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
methiothepin,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12
pipamperone,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
ritanserin,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1
5-MeOT,COc1ccc2[nH]cc(CCN)c2c1
CGS-12066,CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1
TFMPP,FC(F)(F)c1cccc(N2CCNCC2)c1
tryptamine,NCCc1c[nH]c2ccccc12
SB 224289,Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1
metergoline,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21
methysergide,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
mianserin,CN1CCN2c3ccccc3Cc3ccccc3C2C1
<i>m</i>-chlorophenylpiperazine,Clc1cccc(N2CCNCC2)c1
bufotenine,CN(C)CCc1c[nH]c2ccc(O)cc12
DOI,COc1cc(CC(C)N)c(OC)cc1I
ergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
methylergonovine,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
&alpha;-methyl-5-HT,CC(N)Cc1c[nH]c2ccc(O)cc12
(+)-DOI,COc1cc(C[C@H](C)N)c(OC)cc1I
(+)-LSD,CCN(CC)C(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
[<sup>3</sup>H](+)DOB,COc1cc(CC(C)N)c(OC)cc1Br
(<i>R</i>)-DOI,COc1cc(C[C@@H](C)N)c(OC)cc1I
<i>N</i>-1-isopropyl-5-MeOT,COc1ccc2c(c1)c(CCN)cn2C(C)C
<i>N</i>-1-isopropyltryptamine,CC(C)n1cc(CCN)c2ccccc21
